UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),MUSLIM BUMIPUTERA (%),NON-MUSLIM BUMIPUTERA (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018),RACIAL COMPOSITION
P. 144_N. 11,JOHOR,P. 144,LEDANG,N. 11,SEROM,28394,67.46,31.47,0.85,0.04,0.05,0.0,0.13,,,99.89,0.02,0.09,0.0,17.5,22.3,19.1,18.5,12.8,6.6,2.8,0.5,48.4,51.6,SEMI URBAN,Malay (60-69%)
P. 145_N. 12,JOHOR,P. 145,BAKRI,N. 12,BENTAYAN,27856,23.55,73.8,2.26,0.06,0.03,0.0,0.29,,,99.98,0.01,0.0,0.0,11.1,18.8,18.6,21.0,16.8,9.4,3.5,0.8,48.5,51.5,URBAN,Chinese-majority (>50%)
P. 145_N. 13,JOHOR,P. 145,BAKRI,N. 13,SIMPANG JERAM,28193,53.42,43.32,2.75,0.05,0.06,0.0,0.4,,,99.98,0.02,0.0,0.0,19.1,24.8,20.0,16.7,11.9,5.5,1.8,0.2,48.1,51.9,URBAN,Malay (50-59%)
P. 145_N. 14,JOHOR,P. 145,BAKRI,N. 14,BUKIT NANING,17834,61.99,36.42,1.05,0.15,0.16,0.01,0.22,,,93.28,0.03,6.69,0.0,15.1,23.0,21.6,20.1,11.4,6.1,2.4,0.3,50.8,49.2,SEMI URBAN,Malay (60-69%)
P. 146_N. 15,JOHOR,P. 146,MUAR,N. 15,MAHARANI,27900,60.97,36.13,2.27,0.11,0.1,0.01,0.42,,,97.72,0.04,2.24,0.0,17.0,23.1,18.5,17.9,13.1,6.8,2.9,0.7,48.8,51.2,URBAN,Malay (60-69%)
P. 146_N. 16,JOHOR,P. 146,MUAR,N. 16,SUNGAI BALANG,22943,73.71,25.81,0.18,0.03,0.04,0.02,0.2,,,99.91,0.01,0.08,0.0,16.7,23.3,18.9,18.0,12.4,6.9,3.3,0.6,48.8,51.2,RURAL,Malay (70-79%)
P. 147_N. 17,JOHOR,P. 147,PARIT SULONG,N. 17,SEMERAH,35557,70.54,28.55,0.59,0.04,0.05,0.01,0.21,,,99.96,0.0,0.03,0.0,13.5,19.4,19.4,20.9,15.0,8.0,3.2,0.7,48.5,51.5,RURAL,Malay (70-79%)
P. 147_N. 18,JOHOR,P. 147,PARIT SULONG,N. 18,SRI MEDAN,24052,90.28,9.0,0.32,0.02,0.05,0.07,0.26,,,99.85,0.02,0.12,0.0,16.0,22.8,20.9,19.2,11.7,6.3,2.7,0.4,48.7,51.3,RURAL,Malay (90+%)
P. 148_N. 19,JOHOR,P. 148,AYER HITAM,N. 19,YONG PENG,24903,33.32,59.58,6.75,0.03,0.04,0.01,0.28,,,99.75,0.02,0.23,0.0,16.3,22.7,20.3,18.7,12.8,6.6,2.2,0.4,50.0,50.0,SEMI URBAN,Chinese-majority (>50%)
P. 148_N. 20,JOHOR,P. 148,AYER HITAM,N. 20,SEMARANG,21254,86.23,12.65,0.8,0.02,0.04,0.0,0.25,,,99.92,0.01,0.07,0.0,17.7,23.8,20.6,18.3,11.2,5.8,2.3,0.4,49.1,50.9,RURAL,Malay (80-89%)
P. 149_N. 21,JOHOR,P. 149,SRI GADING,N. 21,PARIT YAANI,26635,57.51,41.2,0.88,0.09,0.03,0.02,0.28,,,99.93,0.02,0.05,0.0,18.7,24.0,20.8,18.4,10.9,4.9,2.0,0.3,48.4,51.6,SEMI URBAN,Malay (50-59%)
P. 149_N. 22,JOHOR,P. 149,SRI GADING,N. 22,PARIT RAJA,25484,72.83,24.77,2.06,0.05,0.05,0.0,0.24,,,99.62,0.02,0.1,0.27,16.6,21.2,20.8,20.2,12.1,6.3,2.4,0.5,48.6,51.4,SEMI URBAN,Malay (70-79%)
P. 150_N. 23,JOHOR,P. 150,BATU PAHAT,N. 23,PENGGARAM,49750,37.34,59.95,2.16,0.09,0.08,0.01,0.36,,,98.87,0.05,1.08,0.0,16.3,23.0,18.8,18.6,13.7,6.9,2.3,0.4,48.3,51.7,URBAN,Chinese-majority (>50%)
P. 150_N. 24,JOHOR,P. 150,BATU PAHAT,N. 24,SENGGARANG,27587,64.36,34.56,0.54,0.04,0.04,0.11,0.36,,,97.21,0.02,0.07,2.7,17.6,22.7,19.8,18.4,11.7,6.6,2.7,0.5,50.4,49.6,SEMI URBAN,Malay (60-69%)
P. 150_N. 25,JOHOR,P. 150,BATU PAHAT,N. 25,RENGIT,21206,82.59,16.48,0.24,0.05,0.02,0.31,0.31,,,99.89,0.04,0.07,0.0,18.3,22.8,18.1,17.2,12.6,7.4,2.9,0.7,48.8,51.2,RURAL,Malay (80-89%)
P. 151_N. 26,JOHOR,P. 151,SIMPANG RENGGAM,N. 26,MACHAP,24156,64.73,29.75,4.92,0.05,0.06,0.01,0.48,,,99.87,0.02,0.12,0.0,17.8,23.1,20.5,18.7,11.3,6.2,2.2,0.3,49.3,50.7,SEMI URBAN,Malay (60-69%)
